"","SRR33482787","SRR33482788","SRR33482795","SRR33482806","SRR33482817","SRR33482818"
"AT1G04570",29.3211740266184,27.1380831538237,61.1413790992803,2.98170020901631,3.90078689593378,3.02289754310974
"AT1G01830",92.6927436970516,90.0984360706948,120.372090101708,46.7133032745889,36.0822787873875,72.5495410346337
"AT1G12340",2.8375329703179,3.25656997845885,1.91066809685251,5.96340041803263,2.92559017195033,1.00763251436991
"AT1G67590",102.151186931445,103.12471598453,122.282758198561,57.6462040409821,57.5366067150232,76.5800710921133
"AT1G69080",30.2670183500577,24.9670365015178,17.1960128716726,30.8109021598352,26.330311547553,30.2289754310974
"AT1G73300",20.8085751156646,23.8815131753649,25.7940193075089,51.6828036229494,65.3381805068908,86.6563962358124
"AT1G30530",137.147426898699,145.460125704495,122.282758198561,115.292408081964,154.081082389384,137.038021954308
"AT1G12480",8.51259891095371,14.1118032399883,12.4193426295413,5.96340041803263,3.90078689593378,7.05342760058938
"AT1G76850",659.253493437193,1004.10907669148,919.986688634483,790.150555389323,792.83493659854,905.861630418551
"AT1G73570",24.5919524094218,31.4801764584355,27.7046874043614,22.8597016024584,25.3551148235696,21.1602828017682
"AT1G44130",5.67506594063581,5.42761663076475,10.5086745326888,10.9329007663932,21.4543279276358,15.1144877155487
"AT1G67340",46.3463718485258,61.8748295907181,44.900700276034,61.6218043196705,62.4125903349405,80.610601149593
"AT1G08630",11.3501318812716,11.9407565876824,11.4640085811151,2.98170020901631,0,3.02289754310974
"AT1G66150",255.377967328611,276.808448169002,254.118856881384,577.455940479493,546.110165430729,595.510815992618
"AT1G04640",258.215500298929,255.097981645943,264.627531414073,317.054122225401,297.435000814951,293.221061681644
"AT1G56500",478.597227660287,519.965673227263,618.101129331787,506.889035532773,494.424739059606,544.121557759752
"AT1G77120",297.94096188338,382.104210805838,397.418964145322,33.7926023688516,55.5862132670563,26.1984453736177
"AT1G50590",16.0793534984681,20.624943196906,19.1066809685251,17.8902012540979,7.80157379186756,5.03816257184956
"AT1G17147",45.4005275250865,31.4801764584355,42.0346981307552,56.65230397131,45.8342460272219,43.3281981179062
"AT1G44740",23.6461080859825,23.8815131753649,18.1513469200988,24.8475017418026,37.0574755113709,16.1221202299186
"AT1G60787",1.8916886468786,1.08552332615295,0.955334048426255,6.95730048770473,0.975196723983445,5.03816257184956
"AT1G68500",77.5592345220227,35.8222697630473,92.6674026973467,8.94510062704894,11.7023606878013,6.04579508621947
"AT1G15500",1548.34715747014,1907.26448405073,1573.43517775804,980.979368766367,1346.74667582114,1233.34219758877
"AT1G77760",7065.45709609158,10790.1018619603,9747.27329609308,2942.9381062991,3853.00225645859,3994.25528696233
"AT1G53510",759.512991721759,1044.27343975914,719.36653846497,703.68124932785,927.412084508256,996.548556711843
"AT1G50020",361.312531553813,311.545194605897,415.570311065421,158.030111077865,196.014541520672,176.335690014735
"AT1G22370",70.9383242579476,82.4997727876242,105.086745326888,25.8414018114747,36.0822787873875,28.2137104023575
"AT1G17270",19.8627307922253,24.9670365015178,24.8386852590826,22.8597016024584,36.0822787873875,36.2747705173168
"AT1G74350",14.1876648515895,17.3683732184472,10.5086745326888,12.9207009057374,10.7271639638179,17.1297527442885
"AT1G75230",122.959762047109,125.920705833742,106.042079375314,86.4693060614731,111.172426534113,108.82431155195
"AT1G29150",1254.18957288051,1192.99013544209,1122.51750690085,1095.27787677866,1209.24393773947,1102.34997072068
"AT1G17140",98.3678096376874,121.57861252913,135.657434876528,84.4815059221289,118.97400032598,134.015124411198
"AT1G08380",20333.7612652981,13993.4811974377,14466.6234953188,12751.7378938931,13832.1903329812,12345.5135660602
"AT1G43560",1564.4265109686,1347.13444775581,1425.35840025197,1173.79598228276,1443.2911514955,1235.35746261751
"AT1G07700",724.516751754505,638.287715777934,725.098542755527,705.669049467194,717.744788851815,605.587141136317
"AT1G33750",114.447163136155,110.723379267601,70.6947195835428,157.036211008193,104.346049466229,63.4808484053044
"AT1G14750",12.2959762047109,10.8552332615295,19.1066809685251,9.93900069672105,20.4791312036523,24.1831803448779
"AT1G05900",265.782254886444,267.038738233626,311.438899786959,305.127321389336,266.22870564748,268.030248822397
"AT1G52990",76.6133901985834,60.7893062645652,73.5607217288216,43.7316030655726,30.2310984434868,26.1984453736177
"AT1G37130",3482.59879890351,5570.90570981694,5620.23020689166,3290.80313068434,3883.23335490208,3429.98107891518
"AT1G48175",111.609630165838,60.7893062645652,89.8014005520679,123.243608639341,61.437393610957,82.6258661783328
"AT1G72140",77.5592345220227,48.8485496768827,65.9180493414116,23.8536016721305,72.1645575747749,60.4579508621947
"AT1G66465",13.2418205281502,18.4538965446001,12.4193426295413,33.7926023688516,22.4295246516192,25.1908128592478
"AT1G01710",584.531791885488,512.367009944192,481.488360406832,260.401818254091,352.046017358024,439.327776265282
"AT1G44000",244.973679770779,208.420478621366,161.451454184037,274.316419229501,235.02241048001,225.70968321886
"AT1G73960",145.660025809652,199.736292012143,160.496120135611,159.024011147537,168.709033249136,199.511237845243
"AT1G11360",88.9093664032944,82.4997727876242,109.863415569019,121.255808499997,88.7429018824935,111.84720909506
"AT1G04490",23.6461080859825,23.8815131753649,21.0173490653776,10.9329007663932,14.6279508597517,11.083957658069
"AT1G78476",3.78337729375721,8.6841866092236,6.68733833898378,11.9268008360653,7.80157379186756,10.0763251436991
"AT1G15310",81.3426118157799,55.3616896338004,74.5160557772479,34.7865024385237,45.8342460272219,58.4426858334549
"AT1G13300",72.8300129048262,54.2761663076475,39.1686959854764,95.414406688522,154.081082389384,194.473075273393
"AT1G55530",181.602110100346,107.466809289142,204.441486363219,120.261908430325,97.5196723983445,112.85484160943
"AT1G74458",157.956002014363,118.322042550671,165.272790377742,128.213108987702,85.8173117105431,66.5037459484142
"AT1G32120",99.3136539611267,93.3550060491537,82.1587281646579,51.6828036229494,79.9661313666425,86.6563962358124
"AT1G17260",21.7544194391039,31.4801764584355,31.5260235980664,25.8414018114747,18.5287377556854,13.0992226868089
"AT1G31480",101.205342608005,106.381285962989,106.997413423741,105.353407385243,89.7180986064769,96.7327213795115
"AT1G17500",152.280936073728,225.788851839814,221.637499234891,225.615315815568,237.94800065196,231.75547830508
"AT1G21150",22.7002637625432,22.7959898492119,17.1960128716726,19.8780013934421,16.5783443077186,14.1068552011788
"AT1G78110",12.2959762047109,3.25656997845885,4.77667024213127,17.8902012540979,16.5783443077186,10.0763251436991
"AT1G80080",155.118469044045,214.933618578284,188.200807539972,104.359507315571,106.296442914195,87.6640287501823
"AT1G23260",498.459958452512,281.150541473614,340.098921239747,246.487217278682,252.575951511712,257.953923678697
"AT1G60270",132.418205281502,180.19687214139,213.994826847481,171.944712053274,177.485803764987,176.335690014735
"AT1G25400",25.5377967328611,18.4538965446001,25.7940193075089,15.9024011147537,23.4047213756027,30.2289754310974
"AT1G43140",3.78337729375721,1.08552332615295,0.955334048426255,3.97560027868842,6.82637706788411,5.03816257184956
