"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G14067",2307.1840858272,2.57213780799312,0.184097430786336,13.971611646109,2.32309517869596e-44,6.05180288599567e-42
"AT1G01720",484.066784953781,2.53790098373721,0.181664975293804,13.9702272253235,2.36869734188557e-44,6.09713975312497e-42
"AT2G30010",234.668822082388,-3.0411101262417,0.218288398661974,-13.9316159030098,4.07040949585276e-44,1.03541640140386e-41
"AT4G33905",152.158367071697,5.10453137421319,0.367264509364843,13.8987875061522,6.44234617340822e-44,1.61972568559805e-41
"AT1G16850",167.844120241851,4.15692002316199,0.299300313665012,13.8887927388361,7.40733027842416e-44,1.84093442850675e-41
"AT5G01520",372.706896759925,2.80068125505036,0.203087242732169,13.7905326665147,2.9060619947195e-43,7.14032641475285e-41
"AT4G28110",150.973768127888,6.00425416580856,0.439379407303994,13.6653062615072,1.63613958484018e-42,3.9749000116196e-40
"AT2G28160",154.022573934915,-3.77453791048094,0.276279319662944,-13.6620356351167,1.71132031492795e-42,4.11135198326357e-40
"AT1G01520",157.460908434902,3.63456450654021,0.268511667169916,13.5359649167134,9.59146767138136e-42,2.27897487901767e-39
"AT2G30750",143.543437334487,-4.53591192266498,0.335737307474415,-13.5103005286675,1.35965277754442e-41,3.19547960392017e-39
"AT5G19190",492.262255125672,-2.55996100447027,0.190220354269645,-13.4578710795661,2.7677622962809e-41,6.43489853442855e-39
"AT5G28510",144.723607874691,5.34799096209669,0.398982818512312,13.4040633179087,5.72414078706276e-41,1.31667417125395e-38
"AT2G37180",1530.04991569219,2.22791153305594,0.166436428751919,13.3859609327279,7.30464825862968e-41,1.66253794366411e-38
"AT3G03170",186.767169807328,3.22760286020221,0.242763440196114,13.2952591938672,2.46617146076982e-40,5.55453742966303e-38
"AT1G67360",253.889533952839,3.22914362533796,0.242899325795731,13.2941646287382,2.50252515688497e-40,5.57830916929554e-38
"AT1G78340",260.805659919064,-3.00981914578757,0.226879390101774,-13.2661637729078,3.63729931974732e-40,8.02506998893639e-38
"AT1G51140",302.523368696885,2.95244932672922,0.222996169897303,13.2399104795787,5.16103076212349e-40,1.12718997109731e-37
"AT3G50970",1611.03245903527,3.55989875731782,0.269083693131456,13.2297082587561,5.91163870409951e-40,1.2782145206004e-37
"AT1G07985",128.273925336265,4.63615080339883,0.352927638998688,13.1362644664281,2.04054134097166e-39,4.36837474004844e-37
"AT5G43150",783.207144172403,2.52199860485866,0.192396534548369,13.1083369603241,2.94996258443672e-39,6.25334225496969e-37
"AT5G46890",154.245420975416,-3.81506288459838,0.291629362927068,-13.0818887587546,4.17924862346211e-39,8.77317609092211e-37
"AT1G80110",129.627622478079,4.07430938214319,0.311772727824002,13.0682032728763,5.00333464288307e-39,1.04021251585017e-36
"AT4G17870",340.918890662398,-2.41664293389792,0.184956710472535,-13.0659921866246,5.15086356289449e-39,1.06068544720861e-36
"AT4G17550",275.71906475025,3.06736344449035,0.235315187284748,13.0351273960852,7.72379021896811e-39,1.57550747277857e-36
"AT4G39210",271.195550381028,2.76768143190616,0.212630648948067,13.0163804964078,9.87415205898462e-39,1.99531697027444e-36
"AT1G58270",1844.92899683835,2.18616837414121,0.16872323223609,12.9571271553295,2.14117327518697e-38,4.28670819963821e-36
"AT5G13900",179.37753713739,3.33070221094324,0.257559638173425,12.931770810691,2.97878051709698e-38,5.90891672850192e-36
"AT3G56080",151.952012835284,3.35266130755355,0.260202059072215,12.8848377276795,5.47906249970476e-38,1.0769844488056e-35
"AT1G61890",824.200822307346,2.55678968614868,0.198862541107617,12.8570703758887,7.8495671670923e-38,1.52903911069252e-35
"AT3G13610",313.17014406947,-3.11240759361124,0.242245008412028,-12.8481805012776,8.80570817142754e-38,1.69997341145184e-35
"AT1G21790",223.135526107094,3.4245481394588,0.266861920734269,12.8326594144124,1.07606070631164e-37,2.05898978689118e-35
"AT3G22600",2108.9970794559,2.28468967214512,0.178449827574933,12.8029805530956,1.57777125637742e-37,2.99250614959585e-35
"AT3G17390",2228.0675576004,-2.32447471560022,0.181730816359109,-12.7907570227767,1.84666265513224e-37,3.47204695037125e-35
"AT5G20250",1551.52450304171,-2.23691283255379,0.175183369328521,-12.7689793907257,2.44337213969239e-37,4.55436141417491e-35
"AT1G60470",130.864783391036,3.95359783179215,0.310403065291949,12.7369806353994,3.68377400115026e-37,6.80774029511717e-35
"AT1G18100",228.419369322291,3.72524643925468,0.292913930904765,12.7178875642684,4.7040589922281e-37,8.61959012965728e-35
"AT1G06080",522.723477581695,3.08040047572839,0.242468563299734,12.7043293110145,5.59470163023267e-37,1.01654318192345e-34
"AT4G12730",1463.32508507303,-3.02608159195566,0.238715253118423,-12.6765321965181,7.97842780705351e-37,1.43757971703426e-34
"AT4G35720",163.855867407383,3.93447979617872,0.311147647885988,12.6450571711229,1.19137850953798e-36,2.12892447382068e-34
"AT5G60660",588.536981456373,-2.21273484101015,0.176821726994177,-12.5139307178185,6.26458046914902e-36,1.11026851560607e-33
"AT1G20030",209.133008883359,3.0629436743299,0.244921741161425,12.5058055679555,6.93927725707318e-36,1.21984595814989e-33
"AT5G10300",258.210991312384,2.8786192154892,0.230638002626349,12.4811140519318,9.4652944884705e-36,1.65047255991701e-33
"AT5G20830",346.288723283018,2.44555505938425,0.196440984938052,12.4493117368327,1.41056296375242e-35,2.43993539218039e-33
"AT1G23800",440.677373909425,2.32917479017359,0.187140625228254,12.4461205969186,1.4680932501306e-35,2.51929462335903e-33
"AT3G46450",636.817882858968,2.10170657097056,0.169552424473465,12.3956149698082,2.7602003896014e-35,4.69929549794972e-33
"AT2G23600",657.213581688565,-2.03052590908875,0.163960730494975,-12.3842209226494,3.18159487853438e-35,5.37440972372425e-33
"AT5G24150",184.248124763567,2.71889665733669,0.219594554922327,12.3814393225661,3.29382163337602e-35,5.52085359355474e-33
"AT5G66650",152.435060150928,2.97536036417354,0.240403453965094,12.3765291849989,3.50160919351422e-35,5.82398415247419e-33
"AT1G53170",167.038913038161,3.20205288208942,0.25918258408106,12.3544291891463,4.61016780897766e-35,7.5724794784346e-33
"AT3G23730",548.029303343757,-2.30696134422539,0.186734877446936,-12.354207075649,4.62291782052246e-35,7.5724794784346e-33
"AT2G28960",110.127554035039,-4.87571149625394,0.398594710141058,-12.232253394754,2.09057464248318e-34,3.39867706163695e-32
"AT1G77120",198.840232974011,3.21779752810015,0.263592938455698,12.2074496644415,2.8364133543492e-34,4.57678578714465e-32
"AT1G04220",237.258907374329,3.01641019580184,0.247367217994616,12.1940579687786,3.34348096707678e-34,5.3550181829729e-32
"AT4G08950",190.840073346744,-3.03927022929237,0.249372160881094,-12.1876885477267,3.61530760636733e-34,5.74780743124077e-32
"AT1G20440",6597.18901245747,2.73782384646695,0.224956256562395,12.1704721100192,4.46492528682046e-34,6.99569670664e-32
"AT3G15670",159.863659455387,7.10013525372012,0.58338931281816,12.1704924956916,4.4638102815725e-34,6.99569670664e-32
"AT5G26340",501.92617937806,2.21975884500698,0.18253180954908,12.160942525528,5.01763992138748e-34,7.80513743742734e-32
"AT5G45630",101.700379776559,5.42447111468036,0.446178195616168,12.1576338063522,5.22502671141507e-34,8.0696805395869e-32
"AT5G03210",122.988967333219,5.93287525014656,0.489733462997874,12.1144983923067,8.85039208984744e-34,1.35718565791973e-31
"AT1G64660",139.56658982236,3.14078969203529,0.259618091896915,12.0977304358372,1.08571446468958e-33,1.65319141940268e-31
"AT5G47640",254.647282018188,3.00480419482556,0.248397315325074,12.0967659851444,1.09854231542682e-33,1.66102670938173e-31
"AT3G09270",659.587979310642,-2.06326584150484,0.17093786842928,-12.0702677555527,1.51640106028112e-33,2.27691831426378e-31
"AT4G38860",369.636100809992,-2.74779588573222,0.227702696074986,-12.0674718968954,1.56880038273549e-33,2.33935185348322e-31
"AT1G22330",182.895088162122,-2.85314036314529,0.236650063373313,-12.0563684728218,1.79525693338377e-33,2.65870174065917e-31
"AT2G47770",179.568445112761,7.49092400200171,0.62167725479546,12.0495384771095,1.95038909911798e-33,2.86879680960061e-31
"AT1G58520",432.057906235019,2.22615778580381,0.185041566400326,12.0305822584081,2.45423800680881e-33,3.5855090664338e-31
